,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.8769298416718385,0.7650448113377614,0.6273133984375
1,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.8581914572117144,0.7670656849618918,0.8185572265625
2,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.8660462377239972,0.7109052643788449,0.8732298046875
3,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.8701974410912263,0.7879018200686629,0.82895486328125
4,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.8889572241642512,0.7599432267186612,0.88726501953125
5,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.6211453143596649,0.37333674415028356,0.35962890625
6,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.5977003088713115,0.3957903638287749,0.703955078125
7,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.5993355237198209,0.3212443994123175,0.8013671875
8,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.6005053836663746,0.39220052322545185,0.706728515625
9,cae_500,single_gap_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.612477109292926,0.33546320914502503,0.798515625
