,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.7665491065287238,0.5762614070841995,0.49413498046875
1,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.7539235201870673,0.604373434165552,0.75290875
2,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.7556185556423927,0.5130574531172525,0.824775517578125
3,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.7498103003843101,0.5956794388069138,0.748976552734375
4,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.7658339057848337,0.5475060694956159,0.832226533203125
5,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.6689130179723103,0.42994135849578663,0.39138671875
6,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.6364658157215348,0.4428742042024845,0.714091796875
7,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.6481185844335304,0.38213609348597366,0.8116796875
8,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.6343692397854223,0.44215035525063895,0.7114453125
9,cae_1000,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.6700515414503307,0.39431488316944385,0.8123828125
