,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.9988998757979011,0.9971472044861199,0.976597314453125
1,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.9988301115596443,0.9971369430207921,0.98718134765625
2,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.9987592724671633,0.9961942347656617,0.99007431640625
3,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.9989190464592342,0.9978548510038743,0.989252197265625
4,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.9987481880528734,0.9960594180221491,0.98928134765625
5,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.6475331343332926,0.3649640753169664,0.367919921875
6,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.6043165665983403,0.3816340018632758,0.70267578125
7,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.6644014701921421,0.3253319944373738,0.792275390625
8,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.6142528054702788,0.393684802375206,0.6968359375
9,cae_200,multivariate_gaps_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.660428021592571,0.3238671423588772,0.79814453125
