,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,single gap train,0.999812862435907,0.9994622911013648,0.98853203125
1,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,reconstruction,adenine,single gap train,0.9998715582797975,0.9996913994539558,0.995165185546875
2,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,reconstruction,cytosine,single gap train,0.9997476743378232,0.9990761937813134,0.99414267578125
3,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,reconstruction,thymine,single gap train,0.9998509800027333,0.9996646886959303,0.994833935546875
4,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,reconstruction,guanine,single gap train,0.9997444989458872,0.9990629257823755,0.993950927734375
5,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,single gap train,0.6562954068978628,0.37443197377682924,0.376220703125
6,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,gap_filling,adenine,single gap train,0.613437739168848,0.3895635491891427,0.702705078125
7,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,gap_filling,cytosine,single gap train,0.6693274160538183,0.33456475024611515,0.79224609375
8,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,gap_filling,thymine,single gap train,0.6215052992949994,0.4014258035621432,0.69736328125
9,cae_200,multivariate_gaps_with_weight_2,build_synthetic_dataset_cae_cached,gap_filling,guanine,single gap train,0.6792307714709356,0.3446272201834641,0.79931640625
