,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,single gap train,0.9010216732141744,0.8042974361025508,0.66257673828125
1,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,adenine,single gap train,0.8780161335742883,0.7926843389723013,0.82565193359375
2,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,cytosine,single gap train,0.9027492297381061,0.7807212101003719,0.8901509765625
3,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,thymine,single gap train,0.9108093097983636,0.8483551231809938,0.85597228515625
4,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,guanine,single gap train,0.8926091793387535,0.759385176445112,0.8828311328125
5,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,single gap train,0.6308062288443246,0.36461506571462476,0.355693359375
6,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,adenine,single gap train,0.6029356146765378,0.3926968534947888,0.701806640625
7,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,cytosine,single gap train,0.5987339956815965,0.3118235022648134,0.7869921875
8,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,thymine,single gap train,0.6004153387884935,0.3835918942136267,0.6954296875
9,cae_500,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,guanine,single gap train,0.6724414655484781,0.35905670009718116,0.804736328125
