,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,single gap train,0.7558111483793286,0.5601914372647528,0.48297025390625
1,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,adenine,single gap train,0.7343180775008915,0.5647690042646609,0.74079615234375
2,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,cytosine,single gap train,0.7594061562356437,0.5300986248763132,0.830283330078125
3,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,thymine,single gap train,0.74950423391043,0.6067153273161564,0.75246326171875
4,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,reconstruction,guanine,single gap train,0.7395841457380605,0.49099010318745356,0.819922109375
5,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,single gap train,0.6661875825564066,0.4326838620817657,0.393642578125
6,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,adenine,single gap train,0.6382649334182178,0.44634515592285445,0.714208984375
7,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,cytosine,single gap train,0.6453361872047261,0.38412990240939404,0.81052734375
8,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,thymine,single gap train,0.6317335917419299,0.44433091758642707,0.71009765625
9,cae_1000,multivariate_gaps_with_weight_10,build_synthetic_dataset_cae_cached,gap_filling,guanine,single gap train,0.6509260822576757,0.38727194273719895,0.813583984375
