,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.8869782814013027,0.7741587292991873,0.63599490234375
1,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.8614354219249534,0.7630171799664041,0.81407205078125
2,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.9348944632880336,0.8425997807696888,0.90936009765625
3,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.8671255501974351,0.7764676734443738,0.82304525390625
4,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.8601268496375849,0.6875890680766047,0.86286
5,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.5889491643746694,0.30964738669212427,0.32357421875
6,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.5634483910935363,0.34734109854809614,0.666181640625
7,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.579782390965608,0.2621409772759934,0.767470703125
8,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.5498697085714197,0.33097944064704715,0.624755859375
9,cae_500,single_gap_with_weight_2,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.589249172971783,0.25789665842470966,0.77525390625
