,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score
0,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.8983126869629662,0.7997019359359862,0.65876783203125
1,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.8749965602834288,0.7871420996824949,0.823308359375
2,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.9000793848536187,0.7764095212732569,0.88898572265625
3,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.9079540152872679,0.8442994299550266,0.85396875
4,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.8898409979316627,0.7542131431706288,0.8814373828125
5,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.6221703156789143,0.35402298087325657,0.348388671875
6,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.5953433400777047,0.38446623502477023,0.701904296875
7,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.5927618436588588,0.298956808906625,0.788583984375
8,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.5917989491026807,0.3734352774323696,0.696279296875
9,cae_500,multivariate_gaps_with_weight_10,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.6557206768628954,0.3402742779766075,0.803115234375
