,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cae_200,single_gap,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,single gap train,0.9995235565610333,0.9991427470006069,0.9859673828125,0.9854327281802335,,,,,,,,
1,cae_200,single_gap,build_synthetic_dataset_cae_cached,reconstruction,adenine,single gap train,0.999663972804975,0.9992110836005905,0.991471875,0.9889521824826151,0.9855491889042103,0.9883347225704765,0.9827793126675185,0.01159970713610696,14349551.0,5955793.0,104360.0,70296.0
2,cae_200,single_gap,build_synthetic_dataset_cae_cached,reconstruction,cytosine,single gap train,0.9996809947890548,0.9987849259413908,0.99233876953125,0.9882010459424888,0.9812231574755054,0.9812349001513156,0.9812114150807468,0.01876465072106559,16223477.0,4099621.0,78501.0,78401.0
3,cae_200,single_gap,build_synthetic_dataset_cae_cached,reconstruction,thymine,single gap train,0.9998946100945544,0.999753917502321,0.995180224609375,0.9940063001527211,0.9918491326971504,0.992568504911966,0.9911308024690442,0.007420730814747262,14375523.0,6005768.0,53743.0,44966.0
4,cae_200,single_gap,build_synthetic_dataset_cae_cached,reconstruction,guanine,single gap train,0.9985828906266783,0.9982598456902997,0.994116552734375,0.9893898160915224,0.9855339095854042,0.9897029919749263,0.9813998040272449,0.010210620499094498,16255083.0,4104424.0,77790.0,42703.0
5,cae_200,single_gap,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,single gap train,0.6459572599569955,0.3644372036882171,0.36666015625,0.35779575168510425,,,,,,,,
6,cae_200,single_gap,build_synthetic_dataset_cae_cached,gap_filling,adenine,single gap train,0.5913918401434822,0.3777103571688127,0.704814453125,0.5184026149712995,0.11370766749743438,0.49464285714285716,0.06423720390922644,0.06562862348848766,70234.0,1939.0,28246.0,1981.0
7,cae_200,single_gap,build_synthetic_dataset_cae_cached,gap_filling,cytosine,single gap train,0.6760272059729568,0.3405331177068751,0.78265625,0.5481045028954683,0.22160044767767206,0.4135770234986945,0.15134721956812536,0.21459965602904643,76976.0,3168.0,17764.0,4492.0
8,cae_200,single_gap,build_synthetic_dataset_cae_cached,gap_filling,thymine,single gap train,0.6056148355877474,0.38474195557185026,0.6808203125,0.5448022623085116,0.28100664349509435,0.42382216323822164,0.210181650651573,0.2857377912333816,63329.0,6387.0,24001.0,8683.0
9,cae_200,single_gap,build_synthetic_dataset_cae_cached,gap_filling,guanine,single gap train,0.6764751814905164,0.3541687922397244,0.79939453125,0.5315443574303051,0.13848347592685795,0.5598507968802984,0.07901411821009811,0.062120124431682223,80207.0,1651.0,19244.0,1298.0
