,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cae_200,single_gap,build_multivariate_dataset_cae_cached,reconstruction,all_nucleotides,multivariate gaps train,0.9897073187100438,0.9786207244836728,0.958414599609375,0.9575306894006843,,,,,,,,
1,cae_200,single_gap,build_multivariate_dataset_cae_cached,reconstruction,adenine,multivariate gaps train,0.9896607910279072,0.9795141511551069,0.9748240234375,0.9690328567372357,0.9573479921863716,0.9598637730408832,0.9548453644652206,0.039926384696888015,14177887.0,5786509.0,273644.0,241960.0
2,cae_200,single_gap,build_multivariate_dataset_cae_cached,reconstruction,cytosine,multivariate gaps train,0.9899593075219125,0.9768240899388542,0.9794505859375,0.9693602437823928,0.9497707859160747,0.9472399528818896,0.9523151789248854,0.053042730681392265,16080259.0,3978889.0,199233.0,221619.0
3,cae_200,single_gap,build_multivariate_dataset_cae_cached,reconstruction,thymine,multivariate gaps train,0.9900777619864689,0.9778523689299577,0.980682080078125,0.9767536831260508,0.9673472503809945,0.9675634212366786,0.967131176096553,0.03242208818500371,14224027.0,5860342.0,199169.0,196462.0
4,cae_200,single_gap,build_multivariate_dataset_cae_cached,reconstruction,guanine,multivariate gaps train,0.9878717090786416,0.9802160363778709,0.983074072265625,0.9711339845747273,0.9582398132421197,0.9656416144663206,0.9509506208912313,0.03383566694578517,16156278.0,3977079.0,205135.0,141508.0
5,cae_200,single_gap,build_multivariate_dataset_cae_cached,gap_filling,all_nucleotides,multivariate gaps train,0.6137903904596964,0.3298487692413171,0.344638671875,0.33269574816278746,,,,,,,,
6,cae_200,single_gap,build_multivariate_dataset_cae_cached,gap_filling,adenine,multivariate gaps train,0.5592979481432044,0.3407826526069689,0.692177734375,0.5157483076705627,0.1412809545863187,0.3975774302361239,0.08590359450057976,0.13016398873612722,68286.0,2593.0,27592.0,3929.0
7,cae_200,single_gap,build_multivariate_dataset_cae_cached,gap_filling,cytosine,multivariate gaps train,0.6400975942731219,0.30343027370129066,0.775302734375,0.5371287380579364,0.19630444654022147,0.3650773028452644,0.13424421937703038,0.23347028473151157,76581.0,2810.0,18122.0,4887.0
8,cae_200,single_gap,build_multivariate_dataset_cae_cached,gap_filling,thymine,multivariate gaps train,0.5835311094016324,0.3578713238680422,0.66640625,0.5345254386287586,0.2720763723150358,0.3859733978234583,0.21008292747137028,0.334210872712913,61856.0,6384.0,24004.0,10156.0
9,cae_200,single_gap,build_multivariate_dataset_cae_cached,gap_filling,guanine,multivariate gaps train,0.6242782733576683,0.2903469616226441,0.786875,0.5222206539546568,0.12571108084288118,0.385788050159823,0.0750897343862168,0.11955013161043312,79007.0,1569.0,19326.0,2498.0
