,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7499965031941731,0.5446193614959353,0.47265625,0.45699937275093394,,,,,,,,
1,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7438222305740864,0.556579330570272,0.7509765625,0.5832894860471671,0.3089430894308943,0.7215189873417721,0.19655172413793104,0.07586206896551724,712.0,57.0,233.0,22.0
2,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7445597200957335,0.5154903470315935,0.8115234375,0.5922180644376766,0.31802120141342755,0.8035714285714286,0.19823788546255505,0.048458149779735685,786.0,45.0,182.0,11.0
3,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7131634182908545,0.5584442259954188,0.7529296875,0.5877315188559566,0.31062670299727524,0.8382352941176471,0.19063545150501673,0.03678929765886288,714.0,57.0,242.0,11.0
4,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7698081636500755,0.5241180486627245,0.82421875,0.5870098039215687,0.3023255813953488,0.78,0.1875,0.052884615384615384,805.0,39.0,169.0,11.0
5,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7494630813598633,0.5330713751802335,0.462890625,0.450618768961796,,,,,,,,
6,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7253740634518331,0.5595742979247531,0.7236328125,0.5744480757686921,0.28715365239294705,0.7307692307692307,0.1786833855799373,0.06583072100313479,684.0,57.0,262.0,21.0
7,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7517344297243794,0.4702636714930337,0.826171875,0.5680158367595554,0.2457627118644068,0.7837837837837838,0.1457286432160804,0.04020100502512563,817.0,29.0,170.0,8.0
8,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.70277745485546,0.5099748643119031,0.755859375,0.5722506393861893,0.2774566473988439,0.6857142857142857,0.17391304347826086,0.07971014492753623,726.0,48.0,228.0,22.0
9,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7916055196583069,0.5755683427351622,0.8115234375,0.5958766838243347,0.3275261324041812,0.8245614035087719,0.20434782608695654,0.043478260869565216,784.0,47.0,183.0,10.0
10,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.749682903289795,0.5347094372112067,0.466796875,0.4487208519771545,,,,,,,,
11,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7163405088062622,0.5383830893150976,0.7431640625,0.5699888174447861,0.26740947075208915,0.7384615384615385,0.16326530612244897,0.05782312925170068,713.0,48.0,246.0,17.0
12,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7538378766140603,0.4924712991925584,0.82421875,0.5772357723577236,0.2741935483870968,0.7727272727272727,0.16666666666666666,0.049019607843137254,810.0,34.0,170.0,10.0
13,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7263822892202377,0.5504398220213662,0.732421875,0.5663517031696615,0.2554347826086957,0.7580645161290323,0.15359477124183007,0.049019607843137254,703.0,47.0,259.0,15.0
14,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.774383763003166,0.5357614583997968,0.8154296875,0.5869629127091813,0.3025830258302583,0.803921568627451,0.18636363636363637,0.045454545454545456,794.0,41.0,179.0,10.0
15,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7618255615234375,0.5518161289847207,0.4912109375,0.4687082229477626,,,,,,,,
16,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7367041149970412,0.5998508049840588,0.708984375,0.5744928062059701,0.2904761904761905,0.7349397590361446,0.18100890207715134,0.06528189910979229,665.0,61.0,276.0,22.0
17,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7822603520837315,0.5413509298344159,0.822265625,0.5866171132838958,0.30000000000000004,0.8297872340425532,0.18309859154929578,0.03755868544600939,803.0,39.0,174.0,8.0
18,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7148283145658411,0.497542579528161,0.75,0.5621865764932968,0.242603550295858,0.7192982456140351,0.14590747330960854,0.05693950177935943,727.0,41.0,240.0,16.0
19,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7599620907452784,0.5309536893727824,0.8505859375,0.6175498650106308,0.3805668016194332,0.8703703703703703,0.24352331606217617,0.03626943005181347,824.0,47.0,146.0,7.0
20,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7665624618530275,0.5666230504555478,0.5029296875,0.4800535573173993,,,,,,,,
21,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.755343604793348,0.6047087106750398,0.7265625,0.5791502701260588,0.30000000000000004,0.7407407407407407,0.18808777429467086,0.06583072100313479,684.0,60.0,259.0,21.0
22,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7825081211849136,0.5313027118719703,0.841796875,0.594233802834465,0.319327731092437,0.8444444444444444,0.19689119170984457,0.03626943005181347,824.0,38.0,155.0,7.0
23,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7224323830409357,0.5775680450879324,0.7470703125,0.58921783625731,0.32020997375328086,0.7922077922077922,0.20065789473684212,0.05263157894736842,704.0,61.0,243.0,16.0
24,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7646116138763198,0.5039487396665835,0.822265625,0.5786199095022625,0.2777777777777778,0.7954545454545454,0.16826923076923078,0.04326923076923077,807.0,35.0,173.0,9.0
25,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7639926274617513,0.5478380405951814,0.4716796875,0.45129664160687283,,,,,,,,
26,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7125034606866001,0.5722573538140798,0.7060546875,0.5673103543743079,0.26763990267639903,0.7333333333333333,0.1636904761904762,0.05952380952380952,668.0,55.0,281.0,20.0
27,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.754278728606357,0.4816270049500495,0.8203125,0.5679255584304602,0.2459016393442623,0.7894736842105263,0.14563106796116504,0.038834951456310676,810.0,30.0,176.0,8.0
28,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7478051373914543,0.5515661793882134,0.7548828125,0.574402609407854,0.2808022922636103,0.7205882352941176,0.17437722419928825,0.06761565836298933,724.0,49.0,232.0,19.0
29,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.8082370649788724,0.5549856833833181,0.8310546875,0.5846919714912678,0.29387755102040813,0.8181818181818182,0.1791044776119403,0.03980099502487562,815.0,36.0,165.0,8.0
30,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7573006947835287,0.5491246791389416,0.47265625,0.45837470810240066,,,,,,,,
31,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7160618957641576,0.5568270876268693,0.7451171875,0.5842536368806296,0.3076923076923077,0.7733333333333333,0.19205298013245034,0.056291390728476824,705.0,58.0,244.0,17.0
32,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7831707202111614,0.5390275377525404,0.8251953125,0.5804581447963801,0.2811244979919679,0.8536585365853658,0.16826923076923078,0.028846153846153848,810.0,35.0,173.0,6.0
33,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7291392543859649,0.573714533707632,0.7421875,0.5838450292397661,0.3089005235602094,0.7564102564102564,0.19407894736842105,0.0625,701.0,59.0,245.0,19.0
34,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7761729261729262,0.5034144326862136,0.818359375,0.58010998010998,0.2846153846153846,0.74,0.1761904761904762,0.06190476190476191,801.0,37.0,173.0,13.0
35,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7649137179056804,0.5493432414539043,0.4873046875,0.4626035509483555,,,,,,,,
36,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7256432265874326,0.5682504050014028,0.7197265625,0.5790403873665676,0.30508474576271183,0.7159090909090909,0.19384615384615383,0.07692307692307693,674.0,63.0,262.0,25.0
37,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7487602370791248,0.4663029926084244,0.8369140625,0.5789677127395461,0.2770562770562771,0.8,0.16753926701570682,0.041884816753926704,825.0,32.0,159.0,8.0
38,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7406506237605659,0.5621441157537841,0.7529296875,0.5797972836762727,0.2913165266106442,0.7878787878787878,0.17869415807560138,0.048109965635738834,719.0,52.0,239.0,14.0
39,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.8027969552133121,0.5747196212215082,0.81640625,0.5769276891713635,0.2713178294573643,0.8536585365853658,0.16129032258064516,0.027649769585253458,801.0,35.0,182.0,6.0
40,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7631082534790039,0.5566060905376432,0.48828125,0.467952567493522,,,,,,,,
41,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7136963543213544,0.5327150167577349,0.7392578125,0.5760506385506385,0.2955145118733509,0.6746987951807228,0.1891891891891892,0.09121621621621621,701.0,56.0,240.0,27.0
42,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7854345847887986,0.5608675326944316,0.83203125,0.5956321366718526,0.3228346456692914,0.9111111111111111,0.19617224880382775,0.019138755980861243,811.0,41.0,168.0,4.0
43,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7619045471559418,0.6212480094713552,0.748046875,0.5978993699913864,0.34183673469387754,0.8271604938271605,0.21543408360128619,0.04501607717041801,699.0,67.0,244.0,14.0
44,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7639694098793365,0.48781034275255325,0.8154296875,0.5832861990950227,0.29739776951672864,0.6557377049180327,0.19230769230769232,0.10096153846153846,795.0,40.0,168.0,21.0
45,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7575133641560873,0.552308675187314,0.47265625,0.44982563799781533,,,,,,,,
