,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7635695139567057,0.5639948457167049,0.4755859375,0.4657634828376208,,,,,,,,
1,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7430188203545565,0.5917424146676831,0.765625,0.6047585475971482,0.3582887700534759,0.8271604938271605,0.22866894197952217,0.04778156996587031,717.0,67.0,226.0,14.0
2,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7663849890212256,0.513541360079983,0.802734375,0.5752988666356156,0.2733812949640288,0.7307692307692307,0.168141592920354,0.061946902654867256,784.0,38.0,188.0,14.0
3,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7328580747367439,0.5726730257307289,0.7529296875,0.5869956201658746,0.3143631436314363,0.7733333333333333,0.19727891156462585,0.05782312925170068,713.0,58.0,236.0,17.0
4,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7979048984802645,0.5701705561059596,0.83203125,0.6222463172499023,0.39436619718309857,0.7671232876712328,0.26540284360189575,0.08056872037914692,796.0,56.0,155.0,17.0
5,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7519795099894206,0.5365828775965853,0.4541015625,0.4438291409992988,,,,,,,,
6,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7035899207686884,0.5315938450098961,0.7548828125,0.5900771769935056,0.32345013477088946,0.7692307692307693,0.20477815699658702,0.06143344709897611,713.0,60.0,233.0,18.0
7,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7847701583782604,0.5678192548767773,0.8232421875,0.5990242018105171,0.3321033210332104,0.9375,0.20179372197309417,0.013452914798206279,798.0,45.0,178.0,3.0
8,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7217710498960499,0.5200254230995581,0.7294921875,0.5511397386397386,0.21529745042492915,0.6666666666666666,0.12837837837837837,0.06418918918918919,709.0,38.0,258.0,19.0
9,cnn_200,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7731376057254392,0.5271851798644939,0.8193359375,0.5845919695138954,0.2965779467680608,0.7647058823529411,0.18396226415094338,0.05660377358490566,800.0,39.0,173.0,12.0
