GAP_id chr_name gap_start gap_stop subseq_start_x subseq_end_x score align_subseq_start align_subseq_end subseq_start_y subseq_end_y
58 chr22 19178139 19178139 19177739 19178539 764 0 800 19190227 19191027
119 chr18 78013475 78013475 78013075 78013875 800 0 800 80255192 80255992
330 chr3 60104768 60104768 60104368 60105168 800 0 800 60118641 60119441
59 chr22 19178159 19178159 19177759 19178559 764 0 800 19190247 19191047
120 chr18 78013482 78013482 78013082 78013882 800 0 800 80255199 80255999
331 chr3 60190063 60190063 60189663 60190463 800 0 800 60203935 60204735
60 chr22 19178161 19178163 19177761 19178563 766 0 802 19190249 19191051
122 chr18 78013508 78013509 78013108 78013909 801 0 801 80255225 80256026
332 chr3 60830533 60830533 60830133 60830933 792 0 800 60844461 60845261
61 chr22 19178165 19178166 19177765 19178566 765 0 801 19190253 19191054
123 chr18 78013520 78013520 78013120 78013920 800 0 800 80255237 80256037
333 chr3 60830762 60830763 60830362 60831163 793 0 801 60844690 60845491
62 chr22 19178168 19178168 19177768 19178568 764 0 800 19190256 19191056
124 chr18 78013525 78013526 78013125 78013926 801 0 801 80255242 80256043
343 chr2 31705550 31705550 31705150 31705950 800 0 800 31482284 31483084
63 chr22 19178263 19178263 19177863 19178663 764 0 800 19190351 19191151
125 chr18 78013536 78013536 78013136 78013936 800 0 800 80255253 80256053
345 chr2 31816827 31816827 31816427 31817227 800 0 800 31591358 31592158
64 chr22 19178267 19178267 19177867 19178667 764 0 800 19190355 19191155
126 chr18 78013539 78013539 78013139 78013939 800 0 800 80255256 80256056
346 chr2 31816854 31816854 31816454 31817254 800 0 800 31591385 31592185
65 chr22 19178273 19178273 19177873 19178673 764 0 800 19190361 19191161
127 chr18 78014203 78014203 78013803 78014603 800 0 800 80255920 80256720
347 chr2 31816858 31816858 31816458 31817258 800 0 800 31591389 31592189
66 chr22 19178283 19178283 19177883 19178683 764 0 800 19190371 19191171
128 chr18 78014563 78014563 78014163 78014963 800 0 800 80256280 80257080
67 chr22 19178310 19178310 19177910 19178710 764 0 800 19190398 19191198
149 chr15 27591199 27591199 27590799 27591599 800 0 800 27345653 27346453
68 chr22 19178314 19178314 19177914 19178714 764 0 800 19190402 19191202
150 chr15 27591204 27591205 27590804 27591605 801 0 801 27345658 27346459
69 chr22 19179518 19179518 19179118 19179918 798 0 800 19191606 19192406
165 chr12 6910467 6910467 6910067 6910867 800 0 800 6800901 6801701
70 chr22 19193925 19193925 19193525 19194325 796 0 800 19206015 19206814
166 chr12 6910703 6910703 6910303 6911103 800 0 800 6801137 6801937
71 chr22 19200634 19200634 19200234 19201034 790 0 800 19212725 19213524
187 chr10 37412173 37412173 37411773 37412573 798 0 800 37122845 37123645
72 chr22 19200640 19200640 19200240 19201040 790 0 800 19212731 19213530
198 chr10 54900228 54900229 54899828 54900629 801 0 801 53140068 53140869
73 chr22 19205396 19205396 19204996 19205796 794 0 800 19217487 19218287
199 chr10 60027702 60027702 60027302 60028102 800 0 800 58267542 58268342
74 chr22 19205400 19205400 19205000 19205800 794 0 800 19217491 19218291
200 chr10 61482805 61482805 61482405 61483205 800 0 800 59722647 59723447
75 chr22 19205448 19205448 19205048 19205848 794 0 800 19217539 19218339
201 chr10 64321063 64321063 64320663 64321463 800 0 800 62560904 62561704
115 chr18 78011249 78011249 78010849 78011649 800 0 800 80252966 80253766
202 chr10 64321065 64321065 64320665 64321465 800 0 800 62560906 62561706
116 chr18 78011257 78011257 78010857 78011657 800 0 800 80252974 80253774
203 chr10 64340155 64340155 64339755 64340555 800 0 800 62579996 62580796
117 chr18 78011905 78011905 78011505 78012305 800 0 800 80253622 80254422
204 chr10 116065824 116065824 116065424 116066224 800 0 800 114305665 114306465
118 chr18 78013445 78013445 78013045 78013845 800 0 800 80255162 80255962
304 chr6 115539742 115539742 115539342 115540142 800 0 800 115218178 115218978
