,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cae_500,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,train,0.8869175656731922,0.7781954909512739,0.637224609375,0.6261377357544122,,,,,,,,
1,cae_500,build_synthetic_dataset_cae_cached,reconstruction,adenine,train,0.8634913310347578,0.7706507637376404,0.811189453125,0.711297210150934,0.5944583114840063,0.8309038242778904,0.462770404430975,0.09417781377364406,344477.0,70852.0,82252.0,14419.0
2,cae_500,build_synthetic_dataset_cae_cached,reconstruction,cytosine,train,0.9032521410564482,0.788285584742063,0.885521484375,0.746543312019553,0.6521091399030158,0.9207998793141018,0.5048060134899193,0.04341952913932844,398453.0,54934.0,53888.0,4725.0
3,cae_500,build_synthetic_dataset_cae_cached,reconstruction,thymine,train,0.887833922796174,0.8040235975915535,0.843677734375,0.7418016981751784,0.6464937347896947,0.8829398352012933,0.5099358974358974,0.06760730211817169,358777.0,73186.0,70334.0,9703.0
4,cae_500,build_synthetic_dataset_cae_cached,reconstruction,guanine,train,0.8785750070650769,0.7282805326350141,0.867212890625,0.695305624746451,0.5568194410946046,0.9115744989648475,0.40082962629277175,0.0388816937890647,401303.0,42710.0,63844.0,4143.0
5,cae_500,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,train,0.6033051808675131,0.3244611134884764,0.3212890625,0.30757480486427263,,,,,,,,
6,cae_500,build_synthetic_dataset_cae_cached,gap_filling,adenine,train,0.5853257028204017,0.374109481174552,0.69921875,0.5064091748557878,0.05521472392638036,0.42857142857142855,0.029508196721311476,0.03934426229508197,707.0,9.0,296.0,12.0
7,cae_500,build_synthetic_dataset_cae_cached,gap_filling,cytosine,train,0.6153525239883187,0.32825163200756424,0.7822265625,0.5108302044221944,0.05106382978723405,0.6,0.02666666666666667,0.017777777777777778,795.0,6.0,219.0,4.0
8,cae_500,build_synthetic_dataset_cae_cached,gap_filling,thymine,train,0.5678310474572157,0.3009890744830266,0.716796875,0.4968903993203059,0.039735099337748346,0.2222222222222222,0.02181818181818182,0.07636363636363637,728.0,6.0,269.0,21.0
9,cae_500,build_synthetic_dataset_cae_cached,gap_filling,guanine,train,0.6063246263365382,0.2875561354961539,0.787109375,0.5039450920332398,0.018018018018018018,0.6666666666666666,0.0091324200913242,0.0045662100456621,804.0,2.0,217.0,1.0
10,cae_500,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,train,0.8873593008651732,0.7790871718504546,0.638400390625,0.6264804111406181,,,,,,,,
11,cae_500,build_synthetic_dataset_cae_cached,reconstruction,adenine,train,0.8621680438560928,0.7613124943682615,0.8156484375,0.7080856442102998,0.5868402391728751,0.830335686857426,0.45377189894668435,0.09272020795537624,350579.0,67033.0,80691.0,13697.0
12,cae_500,build_synthetic_dataset_cae_cached,reconstruction,cytosine,train,0.902939325997383,0.7837243885755601,0.888890625,0.746392608910549,0.651370299553856,0.920067173352262,0.5041407769292795,0.043798320922069915,401968.0,53144.0,52271.0,4617.0
13,cae_500,build_synthetic_dataset_cae_cached,reconstruction,thymine,train,0.8891111522013286,0.8152445228431424,0.83739453125,0.7452828712672096,0.654243566955164,0.8843865085781012,0.5191466083150985,0.06786665260604782,349979.0,78767.0,72957.0,10297.0
14,cae_500,build_synthetic_dataset_cae_cached,reconstruction,guanine,train,0.8797327070429317,0.7313465468306899,0.867431640625,0.6968231504611281,0.5601643349166336,0.916069687592726,0.40342738736384254,0.036962020590458944,400903.0,43222.0,63915.0,3960.0
15,cae_500,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,train,0.5857820510864258,0.3264982053159351,0.3359375,0.32061088604945165,,,,,,,,
16,cae_500,build_synthetic_dataset_cae_cached,gap_filling,adenine,train,0.5903326023391813,0.3802727319701379,0.705078125,0.516593567251462,0.09580838323353291,0.5333333333333333,0.05263157894736842,0.046052631578947366,706.0,16.0,288.0,14.0
17,cae_500,build_synthetic_dataset_cae_cached,gap_filling,cytosine,train,0.5884332469698323,0.27126346832546233,0.80078125,0.5188957384079336,0.08928571428571427,0.5263157894736842,0.04878048780487805,0.04390243902439024,810.0,10.0,195.0,9.0
18,cae_500,build_synthetic_dataset_cae_cached,gap_filling,thymine,train,0.5644540667733908,0.3346318112240178,0.724609375,0.5097305533589215,0.07236842105263157,0.4230769230769231,0.039568345323741004,0.0539568345323741,731.0,11.0,267.0,15.0
19,cae_500,build_synthetic_dataset_cae_cached,gap_filling,guanine,train,0.5489789243991229,0.2921103555459336,0.76953125,0.5021097046413502,0.008403361344537815,1.0,0.004219409282700422,0.0,787.0,1.0,236.0,0.0
