,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7656421661376953,0.5679761015375214,0.5048828125,0.48943021021750943,,,,,,,,
1,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7351737955456155,0.563724417182029,0.7451171875,0.575421675519523,0.28493150684931506,0.7323943661971831,0.17687074829931973,0.06462585034013606,711.0,52.0,242.0,19.0
2,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7979352789358745,0.5628057170313228,0.8232421875,0.6000538869508494,0.336996336996337,0.8518518518518519,0.2100456621004566,0.0365296803652968,797.0,46.0,173.0,8.0
3,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7507555482731626,0.6062797186842226,0.7451171875,0.5885311413330421,0.31853785900783294,0.7922077922077922,0.19934640522875818,0.05228758169934641,702.0,61.0,245.0,16.0
4,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7610768635158879,0.5148750026284175,0.8291015625,0.5859703981655201,0.2971887550200803,0.8409090909090909,0.18048780487804877,0.03414634146341464,812.0,37.0,168.0,7.0
5,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7559927304585775,0.5511002752022617,0.4755859375,0.46413316358438306,,,,,,,,
6,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7388443830570903,0.5784841843561391,0.7451171875,0.591353591160221,0.33587786259541985,0.7096774193548387,0.22,0.09,697.0,66.0,234.0,27.0
7,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.772378623529166,0.5556907605077683,0.79296875,0.5857838526971387,0.3026315789473684,0.7931034482758621,0.18699186991869918,0.04878048780487805,766.0,46.0,200.0,12.0
8,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7434531735463826,0.5450067654681392,0.767578125,0.5862512986347873,0.31213872832369943,0.7397260273972602,0.1978021978021978,0.0695970695970696,732.0,54.0,219.0,19.0
9,cnn_1000,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7616486494535275,0.5136421014572994,0.826171875,0.5914529914529915,0.3153846153846154,0.7454545454545455,0.2,0.06829268292682927,805.0,41.0,164.0,14.0
