,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7481107711791992,0.5281738206547117,0.4541015625,0.44591245942469837,,,,,,,,
1,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7327618048747122,0.5701626339987642,0.736328125,0.5790875304954514,0.3005181347150259,0.7160493827160493,0.1901639344262295,0.07540983606557378,696.0,58.0,247.0,23.0
2,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7893366708385482,0.5666312886720974,0.810546875,0.5800639688499514,0.28148148148148144,0.8444444444444444,0.1688888888888889,0.03111111111111111,792.0,38.0,187.0,7.0
3,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7055030950358052,0.49578906115241045,0.7578125,0.561747784925355,0.23456790123456792,0.7755102040816326,0.13818181818181818,0.04,738.0,38.0,237.0,11.0
4,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7521030091607815,0.4777507941229876,0.8046875,0.5716327746107377,0.2647058823529412,0.6792452830188679,0.1643835616438356,0.0776255707762557,788.0,36.0,183.0,17.0
5,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7563899358113607,0.5513847038866688,0.4619140625,0.450396131235276,,,,,,,,
6,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.739546783625731,0.5958016628279297,0.751953125,0.5936403508771929,0.328042328042328,0.8378378378378378,0.20394736842105263,0.039473684210526314,708.0,62.0,242.0,12.0
7,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7770690014592454,0.5144165855830993,0.83203125,0.5841448524375353,0.2892561983471074,0.9459459459459459,0.17073170731707318,0.00975609756097561,817.0,35.0,170.0,2.0
8,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7139902019403245,0.5259391529357558,0.7578125,0.5832931510019866,0.3111111111111111,0.6829268292682927,0.2014388489208633,0.09352517985611511,720.0,56.0,222.0,26.0
9,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7883968925417785,0.5644769766339242,0.8037109375,0.5847956508452222,0.29473684210526313,0.875,0.17721518987341772,0.02531645569620253,781.0,42.0,195.0,6.0
