,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7663148244222004,0.5710949213839779,0.4970703125,0.4900772878757782,,,,,,,,
1,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7311953988524389,0.5784798944146036,0.74609375,0.5895856332256643,0.3193717277486911,0.8133333333333334,0.1986970684039088,0.04560260586319218,703.0,61.0,246.0,14.0
2,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7677108572747202,0.5518415285926487,0.8349609375,0.6206126687435098,0.38989169675090246,0.8571428571428571,0.2523364485981308,0.04205607476635514,801.0,54.0,160.0,9.0
3,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7579295981426475,0.571496001875458,0.7705078125,0.5940772498695268,0.3342776203966006,0.7375,0.21611721611721613,0.07692307692307693,730.0,59.0,214.0,21.0
4,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7968294819844486,0.574594404442454,0.8095703125,0.5915288577373782,0.3157894736842105,0.8181818181818182,0.1956521739130435,0.043478260869565216,784.0,45.0,185.0,10.0
5,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7621065775553386,0.5467392865841193,0.466796875,0.4473590508978069,,,,,,,,
6,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7361900939375764,0.5767977890957166,0.7265625,0.5652489593809049,0.2553191489361702,0.7384615384615385,0.15434083601286175,0.05466237942122187,696.0,48.0,263.0,17.0
7,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7866630798660927,0.5024602949760439,0.82421875,0.5809182209469154,0.2857142857142857,0.75,0.17647058823529413,0.058823529411764705,808.0,36.0,168.0,12.0
8,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7289839181286549,0.5664545635824391,0.740234375,0.583406432748538,0.310880829015544,0.7317073170731707,0.19736842105263158,0.07236842105263158,698.0,60.0,244.0,22.0
9,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7688495786056762,0.49634599358911585,0.8232421875,0.5786503469430299,0.27888446215139445,0.7608695652173914,0.17073170731707318,0.05365853658536585,808.0,35.0,170.0,11.0
10,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7618885040283204,0.5604936801896,0.48828125,0.47794620762477025,,,,,,,,
11,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7315254869070916,0.5609977017875482,0.7490234375,0.5740984064858821,0.2719546742209632,0.8135593220338984,0.16326530612244897,0.03741496598639456,719.0,48.0,246.0,11.0
12,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7886263615514219,0.5523944405280484,0.81640625,0.5959777531090988,0.32857142857142857,0.7796610169491526,0.2081447963800905,0.058823529411764705,790.0,46.0,175.0,13.0
13,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7255213325512748,0.5446421043359713,0.763671875,0.5920945336976581,0.3277777777777778,0.7662337662337663,0.20848056537102475,0.0636042402826855,723.0,59.0,224.0,18.0
14,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7972974471577172,0.5972610460907672,0.8232421875,0.6059008139818574,0.35125448028673834,0.9245283018867925,0.2168141592920354,0.017699115044247787,794.0,49.0,177.0,4.0
15,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.770419438680013,0.5738532099094187,0.482421875,0.4680817703605975,,,,,,,,
16,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7618139948471238,0.6205427229828486,0.7451171875,0.586290157094325,0.3113456464379947,0.7972972972972973,0.19344262295081968,0.04918032786885246,704.0,59.0,246.0,15.0
17,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.7801004464285715,0.5308344246791117,0.8115234375,0.5884821428571428,0.30824372759856633,0.7818181818181819,0.19196428571428573,0.05357142857142857,788.0,43.0,181.0,12.0
18,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7567426466714244,0.5926704019015504,0.7734375,0.6093168505098595,0.37297297297297294,0.7752808988764045,0.24555160142348753,0.0711743772241993,723.0,69.0,212.0,20.0
19,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7802353755624785,0.5344505637993961,0.822265625,0.5850813430252683,0.2945736434108527,0.8636363636363636,0.17757009345794392,0.028037383177570093,804.0,38.0,176.0,6.0
20,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.7775198618570963,0.578965787539812,0.490234375,0.48068572939323073,,,,,,,,
21,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7418570214831898,0.5367759346883267,0.76171875,0.5713217623497997,0.2650602409638554,0.7719298245614035,0.16,0.04727272727272727,736.0,44.0,231.0,13.0
22,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,cytosine,train,0.8152635238492559,0.6024476432076208,0.8173828125,0.5988124043943819,0.33451957295373674,0.8392857142857143,0.2088888888888889,0.04,790.0,47.0,178.0,9.0
23,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,thymine,train,0.7514610300944891,0.5912683378007171,0.7451171875,0.591343965627105,0.32904884318766064,0.7710843373493976,0.20915032679738563,0.06209150326797386,699.0,64.0,242.0,19.0
24,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,guanine,train,0.7891387984610831,0.5796365410246963,0.8310546875,0.6165968538711954,0.37992831541218636,0.8688524590163934,0.24311926605504589,0.03669724770642202,798.0,53.0,165.0,8.0
25,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,all_nucleotides,train,0.777714729309082,0.5822079415369963,0.5,0.4889400508083189,,,,,,,,
26,cnn_500,build_synthetic_dataset_cnn_cached,gap_filling,adenine,train,0.7272924060736978,0.5689872632976357,0.728515625,0.5748095768524824,0.2908163265306123,0.7037037037037037,0.1832797427652733,0.07717041800643087,689.0,57.0,254.0,24.0
