,model,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cae_500,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,train,0.8887007648569742,0.7811852335107002,0.641107421875,0.6272216959236677,,,,,,,,
1,cae_500,build_synthetic_dataset_cae_cached,reconstruction,adenine,train,0.8634984827639549,0.7690708327424618,0.8126171875,0.710945764547558,0.5934297846372905,0.833168723300451,0.46082915945424746,0.09227508770082336,346043.0,70017.0,81920.0,14020.0
2,cae_500,build_synthetic_dataset_cae_cached,reconstruction,cytosine,train,0.9035975995126653,0.7833125406635801,0.889744140625,0.746108382527779,0.6506420769254572,0.9190356306164551,0.5035780317472482,0.04436376177110177,402982.0,52567.0,51820.0,4631.0
3,cae_500,build_synthetic_dataset_cae_cached,reconstruction,thymine,train,0.8889487934697204,0.8155359746797987,0.836833984375,0.745123478105655,0.6541475713203423,0.8853985722450718,0.5186777836134454,0.06713497899159664,349454.0,79005.0,73315.0,10226.0
4,cae_500,build_synthetic_dataset_cae_cached,reconstruction,guanine,train,0.8796056781411267,0.7263811226311325,0.872482421875,0.6977365148563287,0.5616393288527519,0.9175569839633196,0.4046692983474593,0.03635976624482372,404886.0,41825.0,61531.0,3758.0
5,cae_500,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,train,0.6041256586710613,0.3331536922182884,0.328125,0.312420422756023,,,,,,,,
6,cae_500,build_synthetic_dataset_cae_cached,gap_filling,adenine,train,0.6071306884003652,0.37709352688309644,0.6923828125,0.5055969725466679,0.07079646017699115,0.375,0.03908794788273615,0.06514657980456026,697.0,12.0,295.0,20.0
7,cae_500,build_synthetic_dataset_cae_cached,gap_filling,cytosine,train,0.5734510211145725,0.30521599089886764,0.7939453125,0.5190434983269874,0.08658008658008658,0.5882352941176471,0.04672897196261682,0.03271028037383177,803.0,10.0,204.0,7.0
8,cae_500,build_synthetic_dataset_cae_cached,gap_filling,thymine,train,0.5600883803280607,0.2999641041637908,0.7255859375,0.49933665978938946,0.02768166089965398,0.25,0.014652014652014652,0.04395604395604396,739.0,4.0,269.0,12.0
9,cae_500,build_synthetic_dataset_cae_cached,gap_filling,guanine,train,0.6264921695323623,0.35055341844225635,0.77734375,0.5074362063300843,0.03389830508474576,0.6666666666666666,0.017391304347826087,0.008695652173913044,792.0,4.0,226.0,2.0
10,cae_500,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,train,0.8877014167054494,0.7794576759614801,0.638890625,0.6267652373431458,,,,,,,,
11,cae_500,build_synthetic_dataset_cae_cached,reconstruction,adenine,train,0.8617783640127115,0.7636087864924576,0.8122734375,0.7076932964052067,0.5869744576987864,0.8288290474861352,0.45438396902381095,0.09384002288618778,347586.0,68298.0,82011.0,14105.0
12,cae_500,build_synthetic_dataset_cae_cached,reconstruction,cytosine,train,0.903846421249993,0.785433443371665,0.889552734375,0.7476826203278094,0.653530619122017,0.9199151372981924,0.5067798059654691,0.04411862522448902,402118.0,53333.0,51906.0,4643.0
13,cae_500,build_synthetic_dataset_cae_cached,reconstruction,thymine,train,0.8883831034382187,0.8133723767835654,0.837458984375,0.7442435938978617,0.6523695148186053,0.8846380423700011,0.5167047146401985,0.06738130686517783,350692.0,78087.0,73038.0,10183.0
