,model,trained_on,dataset,task,target,run_type,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
0,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,reconstruction,all_nucleotides,single gap train,0.9996144320749252,0.9993952086686109,0.989676953125,0.9895595158767208,,,,,,,,
1,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,reconstruction,adenine,single gap train,0.9997595399025077,0.9994183763232614,0.992987890625,0.9900647136055591,0.9880709747431085,0.993276906735786,0.9829193285665934,0.006652986969030293,14388928.0,5947464.0,103352.0,40256.0
2,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,reconstruction,cytosine,single gap train,0.999850619948436,0.999440654037329,0.995174267578125,0.9933586271202953,0.9882123801555407,0.9861445394522135,0.9902889111676206,0.013913689515753119,16238432.0,4142737.0,40625.0,58206.0
3,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,reconstruction,thymine,single gap train,0.9999501316517606,0.9998839343712853,0.9967044921875,0.9957504071768872,0.9944373793077302,0.9954709908772982,0.9934059119387492,0.004519613809892664,14379689.0,6032819.0,40045.0,27447.0
4,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,reconstruction,guanine,single gap train,0.998652269058904,0.9984825778205991,0.995595703125,0.9915645318765203,0.9891442099042836,0.9935669293699281,0.9847606901387457,0.00637605267055168,16280435.0,4109365.0,63593.0,26607.0
5,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,gap_filling,all_nucleotides,single gap train,0.6513154599348704,0.3703348290215485,0.371708984375,0.34777967250826924,,,,,,,,
6,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,gap_filling,adenine,single gap train,0.6051138367485229,0.3779700986685489,0.697255859375,0.523674448321967,0.16346906284573248,0.4422543436998102,0.10026481297583581,0.12644819596160212,68370.0,3029.0,27181.0,3820.0
7,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,gap_filling,cytosine,single gap train,0.671961267849924,0.3390625026199706,0.7948828125,0.5249794650034106,0.11821998320738873,0.5044786814761734,0.06695515716391649,0.06576632269722764,79988.0,1408.0,19621.0,1383.0
8,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,gap_filling,thymine,single gap train,0.6208189171012378,0.4039584382196566,0.6875,0.552838082185437,0.2961154370683208,0.44670825590655694,0.22145818253602684,0.27429755872869643,63669.0,6731.0,23663.0,8337.0
9,cae_200,multivariate_gaps,build_synthetic_dataset_cae_cached,gap_filling,guanine,single gap train,0.6661111335627621,0.33257256469033286,0.799169921875,0.5139290868263244,0.06433413713089768,0.5833333333333334,0.034044397361198055,0.02431742668657004,81128.0,707.0,20060.0,505.0
